Labels,Stats
LLC-hits,"[113008968.0, 111099285.0, 120485605.0, 112247707.0, 113472936.0, 106029130.0, 110766495.0, 112622852.0, 101600437.0, 107696348.0, 106934461.0, 111143221.0, 112715992.0, 109216872.0, 115157402.0, 112673148.0, 107098786.0, 115677927.0, 114778590.0, 113136439.0, 113722152.0, 115921737.0, 120382823.0, 116360654.0, 111066848.0, 113100060.0, 116986954.0, 116001575.0, 113205736.0, 112615033.0, 114601035.0, 110057833.0, 111172260.0, 116679199.0, 112390960.0]"
LLC-misses,"[28821249.0, 29558729.0, 31430844.0, 30164582.0, 32163155.0, 24388475.0, 29328680.0, 29176803.0, 25403708.0, 26500216.0, 28379049.0, 29488663.0, 29402683.0, 29710920.0, 29583458.0, 30752472.0, 27877705.0, 29875282.0, 34098565.0, 31842167.0, 29540712.0, 31714950.0, 34750851.0, 33262376.0, 30100515.0, 29671143.0, 33051233.0, 30800235.0, 29793134.0, 29793939.0, 33254105.0, 29697746.0, 30429577.0, 35829099.0, 29551128.0]"
time,"[32.280169352, 31.664332245, 31.410241788, 32.459764519, 35.36687983, 29.397081026, 32.915818752, 32.208483783, 28.755594671, 28.917002826, 29.335277538, 32.752183779, 34.502205937, 31.513372453, 32.649886155, 33.595588197, 27.22673727, 30.834659302, 38.325465729, 34.929426676, 33.655890843, 38.213709209, 45.140989162, 38.804683062, 32.73555237, 33.227399103, 31.043039848, 32.238219269, 33.27320487, 31.494881946, 40.334986571, 31.914817822, 33.323730605, 35.696208108, 27.447733526]"
