Labels,Stats
LLC-hits,"[101226792.0, 105002898.0, 111162590.0, 99419956.0, 99277710.0, 105499310.0, 118223670.0, 113530152.0, 109657000.0, 109006198.0, 106093174.0, 107410780.0, 114078549.0, 111224409.0, 106734284.0, 104551818.0, 107859436.0, 104163285.0, 107226483.0, 107798994.0, 114003379.0, 104389382.0, 102799796.0, 110121380.0, 101279092.0, 110145644.0, 115279493.0, 104935840.0, 107804734.0, 112635247.0, 108623482.0, 107589757.0, 112132263.0, 117720562.0, 112561521.0]"
LLC-misses,"[24441643.0, 27317180.0, 28316328.0, 25949455.0, 26445273.0, 28299305.0, 30482610.0, 29302529.0, 31252954.0, 30472363.0, 29823310.0, 28712265.0, 31332842.0, 27072794.0, 28181293.0, 27235657.0, 27375099.0, 28412767.0, 28946942.0, 24440160.0, 30400983.0, 27126753.0, 21741350.0, 29041758.0, 27076335.0, 30135870.0, 32587348.0, 28103285.0, 27957894.0, 32194561.0, 28988664.0, 28061728.0, 34214743.0, 30404182.0, 25570875.0]"
time,"[35.527018842, 33.716647342, 33.781461999, 29.814996915, 33.174493272, 34.275470499, 35.182719585, 34.859844711, 32.264266427, 34.535931616, 35.210776404, 32.76007549, 37.68784559, 31.521654145, 29.985287634, 34.179671845, 34.94643164, 34.353080103, 32.587541313, 35.844240109, 37.808241834, 30.602475309, 30.520081562, 33.063659192, 29.529275554, 35.150177157, 36.258878814, 34.559211544, 35.877956301, 41.710876195, 32.851658794, 31.551789476, 33.014554923, 34.606254079, 30.652061486]"
