Labels,Stats
LLC-hits,"[112246751.0, 108083684.0, 108648025.0, 111255369.0, 109162551.0, 110072828.0, 109249497.0, 111407403.0, 109155264.0, 110523213.0, 116548175.0, 105550081.0, 107872272.0, 118569478.0, 110705836.0, 114419383.0, 109096314.0, 114705227.0, 110186505.0, 113390739.0, 121965419.0, 115824758.0, 114154277.0, 113049407.0, 111545478.0, 118059835.0, 109236012.0, 110941168.0, 111674742.0, 111647939.0, 110840866.0, 116732870.0, 109727452.0]"
LLC-misses,"[30042594.0, 29909679.0, 29969965.0, 30690382.0, 30822365.0, 30790066.0, 27667724.0, 30385341.0, 29508122.0, 28231999.0, 30774087.0, 29659613.0, 31139181.0, 30424651.0, 31478985.0, 32185683.0, 29725501.0, 31382389.0, 30983537.0, 30134473.0, 35397489.0, 31229578.0, 31518086.0, 30667929.0, 30726333.0, 33455160.0, 30540237.0, 30558733.0, 30513038.0, 30105102.0, 29819180.0, 33383965.0, 30574435.0]"
time,"[35.134565895, 36.137809966, 34.495023075, 34.254651035, 33.406299466, 34.475917061, 31.778241098, 32.520778142, 29.898921688, 32.553849967, 38.564215637, 34.12480673, 37.501072008, 37.874579726, 36.691207613, 35.460995457, 34.615698761, 33.994971712, 35.183894336, 36.917522704, 42.087561341, 43.774245082, 34.392289959, 35.249626347, 34.309534359, 38.303057165, 35.684711144, 37.99262888, 31.076005677, 35.542738793, 32.848628503, 38.218708992, 34.281026212]"
