Labels,Stats
LLC-hits,"[111893183.0, 107772499.0, 116292738.0, 102934989.0, 109748040.0, 108364171.0, 105653426.0, 107677134.0, 102734956.0, 107649908.0, 121080840.0, 107059212.0, 112014691.0, 116406648.0, 107008271.0, 106002618.0, 103267954.0, 104436617.0, 116522618.0, 112067829.0, 104754115.0, 110946479.0, 110091839.0, 107227884.0, 112582658.0, 108844499.0]"
LLC-misses,"[32353790.0, 25293455.0, 29821100.0, 23245594.0, 25207595.0, 28755415.0, 26389801.0, 28551518.0, 23199081.0, 29401409.0, 31417334.0, 27007740.0, 31207679.0, 26666913.0, 28875477.0, 25339909.0, 26886202.0, 25868493.0, 31314568.0, 31796127.0, 24143197.0, 29824998.0, 30984779.0, 28626607.0, 30765562.0, 29066847.0]"
time,"[34.230238095, 34.000839355, 35.888612957, 33.512507529, 32.744463069, 35.730584701, 34.331512533, 34.727924792, 33.271897236, 34.097602805, 35.605750755, 33.616222217, 35.605006416, 33.381800869, 34.652498654, 35.027531451, 35.397690267, 34.629096876, 37.240770692, 35.629851796, 32.663732586, 34.691849624, 35.853671052, 33.341002538, 34.353775988, 36.141629167]"
