Labels,Stats
LLC-hits,"[112154392.0, 111250831.0, 108391910.0, 112699539.0, 109778074.0, 108443616.0, 116220916.0, 114187604.0, 102872840.0, 115914306.0, 108200321.0, 109631215.0, 109234610.0, 109535566.0, 108783888.0, 112870534.0, 110096842.0, 113061839.0, 114039348.0, 116270606.0, 106347216.0, 114174481.0, 110639744.0, 111439414.0, 105572305.0, 118151154.0]"
LLC-misses,"[27651503.0, 30253005.0, 26563964.0, 27722215.0, 24965453.0, 29199380.0, 29192374.0, 30378529.0, 24210668.0, 29915512.0, 28623024.0, 30098538.0, 29049329.0, 28125721.0, 28881507.0, 26638873.0, 32547019.0, 27691982.0, 29830623.0, 28610203.0, 26841379.0, 29986563.0, 28407451.0, 29185750.0, 27771162.0, 31153844.0]"
time,"[32.363497259, 34.567595247, 34.191965558, 35.475491105, 32.797760733, 34.597036889, 34.930270817, 34.715715626, 32.430152681, 36.035274764, 32.212951439, 33.756707228, 32.865075683, 34.662380487, 35.161030017, 34.585695221, 34.960321239, 34.640901183, 33.194329537, 35.433178048, 32.55137124, 35.803135919, 32.861848751, 35.770110744, 34.072240846, 36.629753667]"
