Labels,Stats
LLC-hits,"[111918425.0, 107390920.0, 112618986.0, 109362032.0, 113578698.0, 121141884.0, 109728112.0, 113996188.0, 104866559.0, 124927351.0, 115971364.0, 111066820.0, 107918666.0, 108551755.0, 107924975.0, 110594714.0, 117320798.0, 104802786.0, 110390874.0, 109458762.0, 105062795.0, 107369381.0, 104335220.0]"
LLC-misses,"[26129978.0, 25600237.0, 29793811.0, 29247187.0, 29445325.0, 34344049.0, 26724733.0, 30097194.0, 24716670.0, 33955003.0, 28208614.0, 31557607.0, 25834544.0, 27675453.0, 25431948.0, 26940564.0, 31017232.0, 26542300.0, 25254544.0, 27267570.0, 24302616.0, 28054699.0, 23308163.0]"
time,"[44.437769522, 40.07349907, 41.01342599, 40.045715613, 40.981013819, 42.624804643, 41.599406235, 42.463114636, 39.916307448, 42.65717548, 40.920747034, 39.523712492, 39.72533826, 40.666731203, 36.980858348, 38.430851882, 38.39431338, 35.493536818, 35.292747728, 35.839872692, 35.667596787, 34.576038329, 32.793806684]"
