Labels,Stats
LLC-hits,"[104329255.0, 100231054.0, 111226761.0, 107717127.0, 112076040.0, 112888707.0, 110553193.0, 109804998.0, 101446206.0, 98392229.0, 102637815.0, 105026068.0, 100182561.0, 102958786.0, 104497897.0, 104240436.0, 109079964.0, 107149255.0, 108518656.0, 98189775.0, 99514089.0, 106438432.0, 109493784.0, 103090477.0, 105714680.0]"
LLC-misses,"[23416876.0, 23366593.0, 32407437.0, 27299197.0, 29725139.0, 31161252.0, 28759403.0, 28185050.0, 22872455.0, 22197039.0, 24331673.0, 25932945.0, 23388374.0, 24255961.0, 24772645.0, 26597924.0, 29852795.0, 26187485.0, 26560490.0, 22323722.0, 23467721.0, 27299328.0, 27801365.0, 23127250.0, 26668741.0]"
time,"[40.46046354, 35.435356956, 38.601206241, 36.977000132, 40.213156861, 37.903522508, 37.691239412, 38.902335001, 35.82932816, 34.250542345, 33.569502602, 38.381949819, 33.633926527, 34.341989894, 34.789169349, 34.413732594, 37.115383518, 34.593538571, 34.425800897, 33.921229826, 31.447585128, 32.315591304, 33.931127983, 32.452978602, 32.966612536]"
