Labels,Stats
LLC-hits,"[124798686.0, 120434055.0, 101355388.0, 119827098.0, 105336787.0, 107972016.0, 110568823.0, 110215850.0]"
LLC-misses,"[39732660.0, 42536774.0, 30752398.0, 41979159.0, 31181579.0, 28072274.0, 29275740.0, 34719030.0]"
time,"[76.479448507, 32.263238873, 30.532714825, 34.762889259, 34.606812324, 31.498591345, 34.302741103, 33.466547722]"
