Labels,Stats
LLC-hits,"[108335734.0, 113396834.0, 105695124.0, 110373742.0, 109455430.0, 108894607.0, 109331906.0, 119027631.0, 110972827.0]"
LLC-misses,"[25327283.0, 30244407.0, 24109501.0, 28959996.0, 29068367.0, 27291091.0, 29926661.0, 31667744.0, 28220384.0]"
time,"[36.642149255, 38.290701912, 36.332737412, 36.841609108, 36.188939897, 36.058659278, 36.864441981, 35.031797209, 36.711259885]"
