Labels,Stats
LLC-hits,"[124927569.0, 111843354.0, 107554374.0, 109399016.0, 117656152.0, 117328198.0, 111894522.0, 116499429.0]"
LLC-misses,"[33657940.0, 28718792.0, 30081898.0, 30455990.0, 31621448.0, 35920129.0, 30450461.0, 33660374.0]"
time,"[45.986131671, 41.093072562, 37.84099535, 39.899541246, 38.580777214, 40.546225796, 37.943893665, 40.084476052]"
