Labels,Stats
LLC-hits,"[117667934.0, 119756811.0, 122303384.0, 109132242.0, 111561367.0, 110784343.0, 118407626.0, 119065497.0]"
LLC-misses,"[39829298.0, 39472303.0, 42192507.0, 31343914.0, 33731148.0, 34461224.0, 33828952.0, 38900863.0]"
time,"[36.897366503, 43.659515899, 38.885589146, 35.596719736, 36.791814201, 37.426041144, 34.423185733, 36.6663148]"
